time,utilization_percent,ACC_TFLOPS,cap_tflops_TFLOPS
0,0.0,0.0,81.81675
1,0.0,0.0,81.81675
2,0.0,0.0,81.81675
3,0.0,0.0,81.81675
4,0.0,0.0,81.81675
5,0.0,0.0,81.81675
6,0.0,0.0,81.81675
7,0.0,0.0,81.81675
8,0.0,0.0,81.81675
9,0.0,0.0,81.81675
10,0.0,0.0,81.81675
11,0.0,0.0,81.81675
12,0.0,0.0,81.81675
13,0.0,0.0,81.81675
14,0.0,0.0,81.81675
15,0.0,0.0,81.81675
16,0.0,0.0,81.81675
17,0.0,0.0,81.81675
18,0.0,0.0,81.81675
19,0.0,0.0,81.81675
20,0.0,0.0,81.81675
21,0.0,0.0,81.81675
22,0.0,0.0,81.81675
23,0.0,0.0,81.81675
24,0.0,0.0,81.81675
25,0.0,0.0,81.81675
26,0.0,0.0,81.81675
27,0.0,0.0,81.81675
28,0.0,0.0,81.81675
29,0.0,0.0,81.81675
30,0.0,0.0,81.81675
31,0.0,0.0,81.81675
32,0.0,0.0,81.81675
33,0.0,0.0,81.81675
34,0.0,0.0,81.81675
35,0.0,0.0,81.81675
36,0.0,0.0,81.81675
37,0.0,0.0,81.81675
38,0.0,0.0,81.81675
39,0.0,0.0,81.81675
40,0.0,0.0,81.81675
41,0.0,0.0,81.81675
42,0.0,0.0,81.81675
43,7.56,0.0,81.81675
44,7.56,0.140493,81.81675
45,19.87,0.274743,81.81675
46,19.87,0.622123,81.81675
47,19.87,0.954722,81.81675
48,19.87,1.273463,81.81675
49,19.87,1.579193,81.81675
50,19.87,1.872694,81.81675
51,45.56,2.154686,81.81675
52,45.56,2.83002,81.81675
53,45.56,3.47987,81.81675
54,45.56,4.105652,81.81675
55,45.56,4.708678,81.81675
56,45.56,5.290167,81.81675
57,45.56,5.851253,81.81675
58,57.56,6.392992,81.81675
59,57.56,7.082773,81.81675
60,57.56,7.749561,81.81675
61,57.56,8.394488,81.81675
62,65.11,9.018611,81.81675
63,78.49,9.721042,81.81675
64,78.49,10.572542,81.81675
65,78.49,11.397842,81.81675
66,78.49,12.198134,81.81675
67,86.04,12.974535,81.81675
68,86.04,13.819009,81.81675
69,86.04,14.639006,81.81675
70,98.36,15.435574,81.81675
71,98.36,16.35157,81.81675
72,98.36,17.242122,81.81675
73,98.36,18.108276,81.81675
74,98.36,18.95102,81.81675
75,98.36,19.77129,81.81675
76,98.36,20.569975,81.81675
77,98.36,21.347914,81.81675
78,98.36,22.105907,81.81675
79,98.36,22.84471,81.81675
80,98.36,23.565042,81.81675
81,98.36,24.267589,81.81675
82,98.36,24.953,81.81675
83,98.36,25.621896,81.81675
84,98.36,26.274865,81.81675
85,98.36,26.91247,81.81675
86,98.36,27.535248,81.81675
87,98.36,28.143708,81.81675
88,98.36,28.73834,81.81675
89,98.36,29.319609,81.81675
90,98.36,29.887962,81.81675
91,98.36,30.443823,81.81675
92,98.36,30.9876,81.81675
93,98.36,31.519683,81.81675
94,98.36,32.040445,81.81675
95,98.36,32.550244,81.81675
96,98.36,33.049422,81.81675
97,98.36,33.538307,81.81675
98,98.36,34.017215,81.81675
99,98.36,34.486449,81.81675
100,98.36,34.946298,81.81675
101,98.36,35.39704,81.81675
102,98.36,35.838945,81.81675
103,98.36,36.272269,81.81675
104,98.36,36.69726,81.81675
105,98.36,37.114156,81.81675
106,98.36,37.523186,81.81675
107,98.36,37.92457,81.81675
108,98.36,38.318521,81.81675
109,98.36,38.705244,81.81675
110,98.36,39.084936,81.81675
111,98.36,39.457786,81.81675
112,98.36,39.823978,81.81675
113,98.36,40.183689,81.81675
114,98.36,40.53709,81.81675
115,98.36,40.884344,81.81675
116,98.36,41.225611,81.81675
117,98.36,41.561044,81.81675
118,98.36,41.890792,81.81675
119,98.36,42.214998,81.81675
120,98.36,42.533801,81.81675
121,98.36,42.847334,81.81675
122,98.36,43.155728,81.81675
123,98.36,43.459106,81.81675
124,98.36,43.757592,81.81675
125,98.36,44.051302,81.81675
126,98.36,44.34035,81.81675
127,98.36,44.624845,81.81675
128,98.36,44.904896,81.81675
129,98.36,45.180605,81.81675
130,98.36,45.452072,81.81675
131,98.36,45.719394,81.81675
132,98.36,45.982666,81.81675
133,98.36,46.24198,81.81675
134,98.36,46.497422,81.81675
135,98.36,46.749081,81.81675
136,98.36,46.997039,81.81675
137,98.36,47.241376,81.81675
138,98.36,47.482173,81.81675
139,98.36,47.719505,81.81675
140,98.36,47.953447,81.81675
141,98.36,48.18407,81.81675
142,98.36,48.411445,81.81675
143,98.36,48.63564,81.81675
144,98.36,48.856721,81.81675
145,98.36,49.074752,81.81675
146,98.36,49.289797,81.81675
147,98.36,49.501917,81.81675
148,98.36,49.711169,81.81675
149,98.36,49.917613,81.81675
150,98.36,50.121305,81.81675
151,98.36,50.322298,81.81675
152,98.36,50.520647,81.81675
153,98.36,50.716403,81.81675
154,98.36,50.909617,81.81675
155,98.36,51.100337,81.81675
156,98.36,51.288613,81.81675
157,98.36,51.47449,81.81675
158,98.36,51.658014,81.81675
159,98.36,51.83923,81.81675
160,98.36,52.018181,81.81675
161,98.36,52.194908,81.81675
162,98.36,52.369454,81.81675
163,98.36,52.541858,81.81675
164,98.36,52.71216,81.81675
165,98.36,52.880397,81.81675
166,98.36,53.046607,81.81675
167,98.36,53.210827,81.81675
168,98.36,53.373092,81.81675
169,98.36,53.533436,81.81675
170,98.36,53.691895,81.81675
171,98.36,53.848499,81.81675
172,98.36,54.003283,81.81675
173,98.36,54.156278,81.81675
174,98.36,54.307514,81.81675
175,98.36,54.457021,81.81675
176,98.36,54.60483,81.81675
177,98.36,54.750968,81.81675
178,98.36,54.895464,81.81675
179,98.36,55.038346,81.81675
180,98.36,55.17964,81.81675
181,98.36,55.319373,81.81675
182,98.36,55.457571,81.81675
183,98.36,55.594258,81.81675
184,98.36,55.72946,81.81675
185,98.36,55.863199,81.81675
186,98.36,55.995501,81.81675
187,98.36,56.126388,81.81675
188,98.36,56.255882,81.81675
189,98.36,56.384006,81.81675
190,98.36,56.510781,81.81675
191,98.36,56.636229,81.81675
